id,tested_positive
0,20.965847
1,5.278537
2,6.6281576
3,10.585363
4,4.881022
5,29.716175
6,25.530098
7,7.563873
8,12.444556
9,9.928249
10,17.544937
11,21.063614
12,22.49221
13,13.637695
14,21.0997
15,18.966187
16,28.83749
17,9.482503
18,23.325344
19,5.184003
20,6.52723
21,23.615894
22,18.633453
23,12.708991
24,13.222957
25,27.178867
26,26.76477
27,26.94714
28,8.235228
29,20.353218
30,9.626618
31,7.849758
32,27.353203
33,10.9388485
34,20.436977
35,31.574738
36,12.658546
37,7.979056
38,16.288382
39,9.051287
40,15.630984
41,5.5794883
42,8.549589
43,16.056145
44,7.5044045
45,17.021996
46,14.372783
47,4.9988747
48,6.840211
49,16.74646
50,15.590835
51,15.9584
52,12.825702
53,8.926903
54,13.6750555
55,29.783978
56,9.110754
57,15.60356
58,33.008472
59,10.301401
60,20.05931
61,22.20179
62,25.815395
63,22.757206
64,17.924461
65,6.5089817
66,14.4787655
67,24.505623
68,33.23957
69,18.435173
70,19.927532
71,16.709526
72,12.435689
73,25.508343
74,12.549858
75,6.352462
76,20.53891
77,13.477668
78,7.6920805
79,8.468235
80,18.267433
81,11.693677
82,12.485672
83,15.943803
84,10.857824
85,16.663754
86,24.180626
87,9.611619
88,6.178506
89,17.038847
90,28.083038
91,36.184895
92,17.614681
93,5.551902
94,11.154769
95,11.820696
96,10.046516
97,22.826065
98,12.244573
99,11.2553625
100,7.680434
101,9.983134
102,14.930147
103,12.031495
104,7.7110796
105,30.546162
106,29.295486
107,10.585813
108,20.47359
109,9.836386
110,13.91797
111,6.656292
112,19.393944
113,24.27523
114,14.701222
115,10.620305
116,8.891108
117,29.499153
118,20.04675
119,10.680068
120,12.621518
121,23.682617
122,9.869275
123,20.727943
124,32.16177
125,12.4565
126,11.685105
127,8.094151
128,5.04676
129,11.589795
130,17.734222
131,14.776088
132,12.792456
133,16.557804
134,23.183613
135,19.448147
136,22.37751
137,5.8316975
138,16.755558
139,33.81668
140,24.211967
141,18.386269
142,24.149483
143,25.970192
144,11.682352
145,35.560226
146,6.9580736
147,12.7878895
148,20.308445
149,17.127453
150,19.84032
151,9.587453
152,20.563251
153,6.275198
154,33.974762
155,16.5854
156,16.648563
157,26.71735
158,18.091938
159,17.164085
160,18.012177
161,23.804344
162,12.853717
163,15.15764
164,15.974187
165,24.114021
166,27.930927
167,16.122139
168,28.679562
169,16.981243
170,12.392516
171,13.557864
172,25.634735
173,39.38617
174,21.607998
175,5.261305
176,8.71564
177,33.429237
178,29.051758
179,23.192638
180,17.076168
181,23.464352
182,26.904167
183,10.718475
184,19.938057
185,8.993438
186,20.480331
187,5.810549
188,12.995677
189,26.87257
190,5.3630404
191,23.284775
192,24.897396
193,8.627007
194,11.413325
195,31.105022
196,8.72554
197,27.281952
198,11.713533
199,19.012428
200,24.044136
201,16.312637
202,23.120934
203,13.70269
204,26.478725
205,20.15892
206,13.681486
207,28.253704
208,16.777771
209,7.1694098
210,10.275675
211,16.446877
212,30.927559
213,7.0315185
214,12.261423
