id,tested_positive
0,20.224716
1,2.4456108
2,2.4086263
3,11.026554
4,2.6961005
5,28.432947
6,25.986168
7,6.3490415
8,10.959412
9,9.418735
10,17.760777
11,20.42592
12,22.129751
13,12.679305
14,20.544245
15,19.207155
16,29.103355
17,7.7253947
18,22.316694
19,3.0103414
20,4.847391
21,24.048952
22,18.553778
23,13.51732
24,11.85082
25,28.15497
26,25.628881
27,27.761992
28,6.438338
29,19.137232
30,10.409772
31,6.701772
32,27.16158
33,11.556001
34,21.315088
35,30.746916
36,12.565037
37,6.9863772
38,15.000485
39,8.172143
40,14.750536
41,4.6159906
42,7.4142504
43,16.983736
44,6.2878304
45,16.054296
46,14.564912
47,3.0843344
48,6.1122174
49,15.619636
50,16.06397
51,12.997703
52,13.050274
53,6.9758935
54,13.118314
55,29.587488
56,9.588024
57,15.753381
58,33.525993
59,10.600586
60,20.127773
61,21.94032
62,25.741308
63,22.717367
64,18.180973
65,3.9353406
66,13.0342455
67,23.308735
68,32.64866
69,16.908136
70,19.574102
71,15.875361
72,12.249648
73,25.501991
74,12.428702
75,2.4012833
76,17.913635
77,12.952882
78,7.9256644
79,5.6369476
80,17.72445
81,10.551924
82,11.0758505
83,15.198224
84,8.707495
85,17.622957
86,23.549976
87,10.982293
88,6.069056
89,16.986658
90,27.946348
91,35.55871
92,17.461554
93,5.3877068
94,11.20543
95,11.335896
96,11.107766
97,22.528894
98,11.209837
99,12.07679
100,5.1747937
101,6.474135
102,15.223469
103,12.410779
104,2.7947414
105,32.125088
106,28.855104
107,11.09533
108,20.193605
109,9.032105
110,13.872619
111,6.1708136
112,20.445105
113,24.371786
114,15.619711
115,9.943527
116,9.2424
117,28.967249
118,19.53942
119,11.891098
120,11.523614
121,23.329542
122,8.376835
123,19.542992
124,32.647503
125,11.223466
126,11.1004305
127,5.5092072
128,3.3280284
129,10.813678
130,17.340174
131,13.019535
132,13.08177
133,14.872356
134,23.124466
135,18.752556
136,22.804867
137,4.6056514
138,15.987754
139,32.69112
140,25.173708
141,17.373766
142,25.303667
143,26.609453
144,11.789359
145,35.28481
146,4.181126
147,12.43679
148,19.403425
149,15.354379
150,21.166645
151,7.5743613
152,20.768679
153,4.119179
154,33.593243
155,16.9508
156,16.4888
157,27.036667
158,17.12062
159,17.762794
160,17.876022
161,23.28655
162,12.950672
163,15.029375
164,16.319338
165,23.970331
166,27.918041
167,16.311232
168,28.887152
169,16.659016
170,11.878155
